accoutrements,accouterments
aeon,eon
aeons,eons
aerogramme,aerogram
aerogrammes,aerograms
aeroplane,airplane
aeroplanes,airplanes
aesthete,esthete
aesthetes,esthetes
aesthetic,esthetic
aesthetically,esthetically
aesthetics,esthetics
aetiology,etiology
ageing,aging
almanack,almanac
almanacks,almanacs
aluminium,aluminum
amphitheatre,amphitheater
amphitheatres,amphitheaters
anaemia,anemia
anaemic,anemic
anaesthesia,anesthesia
anaesthetic,anesthetic
anaesthetics,anesthetics
anaesthetist,anesthetist
anaesthetists,anesthetists
anaesthetize,anesthetize
anaesthetized,anesthetized
anaesthetizes,anesthetizes
anaesthetizing,anesthetizing
analogue,analog
analogues,analogs
appal,appall
appals,appalls
artefact,artifact
artefacts,artifacts
axe,ax
backpedalled,backpedaled
backpedalling,backpedaling
bannister,banister
bannisters,banisters
baulk,balk
baulked,balked
baulking,balking
baulks,balks
bedevilled,bedeviled
bedevilling,bedeviling
behove,behoove
behoved,behooved
behoves,behooves
bejewelled,bejeweled
bevelled,beveled
bevvies,bevies
bevvy,bevy
biassed,biased
biassing,biasing
bingeing,binging
bougainvillaea,bougainvillea
bougainvillaeas,bougainvilleas
caesarean,cesarean
caesareans,cesareans
calibre,caliber
calibres,calibers
calliper,caliper
callipers,calipers
callisthenics,calisthenics
cancelled,canceled
cancelling,canceling
carolled,caroled
carolling,caroling
catalogue,catalog
catalogued,cataloged
catalogues,catalogs
cataloguing,cataloging
cavilled,caviled
cavilling,caviling
centigramme,centigram
centigrammes,centigrams
centilitre,centiliter
centilitres,centiliters
centimetre,centimeter
centimetres,centimeters
centre,center
centred,centered
centrefold,centerfold
centrefolds,centerfolds
centrepiece,centerpiece
centrepieces,centerpieces
centres,centers
channelled,channeled
channelling,channeling
cheque,check
chequebook,checkbook
chequebooks,checkbooks
chequered,checkered
cheques,checks
chilli,chili
chimaera,chimera
chimaeras,chimeras
chiselled,chiseled
chiselling,chiseling
clarinettist,clarinetist
clarinettists,clarinetists
connexion,connection
connexions,connections
cosier,cozier
cosies,cozies
cosiest,coziest
cosily,cozily
cosiness,coziness
cosy,cozy
councillor,councilor
councillors,councilors
counselled,counseled
counselling,counseling
counsellor,counselor
counsellors,counselors
crueller,crueler
cruellest,cruelest
cudgelled,cudgeled
cudgelling,cudgeling
cypher,cipher
cyphers,ciphers
defence,defense
defenceless,defenseless
defences,defenses
dialled,dialed
dialling,dialing
dialogue,dialog
dialogues,dialogs
diarrhoea,diarrhea
disc,disk
discs,disks
disembowelled,disemboweled
disembowelling,disemboweling
dishevelled,disheveled
distil,distill
distils,distills
draught,draft
draughtboard,draftboard
draughtboards,draftboards
draughtier,draftier
draughtiest,draftiest
draughts,drafts
draughtsman,draftsman
draughtsmanship,draftsmanship
draughtsmen,draftsmen
draughtswoman,draftswoman
draughtswomen,draftswomen
draughty,drafty
drivelled,driveled
drivelling,driveling
duelled,dueled
duelling,dueling
edoema,edema
enamelled,enameled
enamelling,enameling
encyclopaedia,encyclopedia
encyclopaedias,encyclopedias
encyclopaedic,encyclopedic
enrol,enroll
enrols,enrolls
enthral,enthrall
enthrals,enthralls
epaulette,epaulet
epaulettes,epaulets
epicentre,epicenter
epicentres,epicenters
epilogue,epilog
epilogues,epilogs
faecal,fecal
faeces,feces
fibre,fiber
fibreglass,fiberglass
fibres,fibers
fillet,filet
filleted,fileted
filleting,fileting
fillets,filets
flautist,flutist
flautists,flutists
foetal,fetal
foetid,fetid
foetus,fetus
foetuses,fetuses
fulfil,fulfill
fulfilment,fulfillment
fulfils,fulfills
funnelled,funneled
funnelling,funneling
gambolled,gamboled
gambolling,gamboling
gaol,jail
gaolbird,jailbird
gaolbirds,jailbirds
gaolbreak,jailbreak
gaolbreaks,jailbreaks
gaoled,jailed
gaoler,jailer
gaolers,jailers
gaoling,jailing
gaols,jails
gipsies,gypsies
glueing,gluing
goitre,goiter
goitres,goiters
gonorrhoea,gonorrhea
gramme,gram
grammes,grams
gravelled,graveled
grey,gray
greyed,grayed
greying,graying
greyish,grayish
greyness,grayness
greys,grays
grovelled,groveled
grovelling,groveling
groyne,groin
groynes,groins
gruelling,grueling
gruellingly,gruelingly
gryphon,griffin
gryphons,griffins
gynaecological,gynecological
gynaecologist,gynecologist
gynaecologists,gynecologists
gynaecology,gynecology
haematological,hematological
haematologist,hematologist
haematologists,hematologists
haematology,hematology
haemoglobin,hemoglobin
haemophilia,hemophilia
haemophiliac,hemophiliac
haemophiliacs,hemophiliacs
haemorrhage,hemorrhage
haemorrhaged,hemorrhaged
haemorrhages,hemorrhages
haemorrhaging,hemorrhaging
haemorrhoids,hemorrhoids
homoeopath,homeopath
homoeopathic,homeopathic
homoeopaths,homeopaths
homoeopathy,homeopathy
impanelled,impaneled
impanelling,impaneling
imperilled,imperiled
imperilling,imperiling
inflexion,inflection
inflexions,inflections
initialled,initialed
initialling,initialing
instal,install
instalment,installment
instalments,installments
instals,installs
instil,instill
instils,instills
jewelled,jeweled
jeweller,jeweler
jewellers,jewelers
jewellery,jewelry
judgement,judgment
kilogramme,kilogram
kilogrammes,kilograms
kilometre,kilometer
kilometres,kilometers
labelled,labeled
labelling,labeling
lacklustre,lackluster
leukaemia,leukemia
levelled,leveled
leveller,leveler
levellers,levelers
levelling,leveling
libelled,libeled
